ano,Dotação Orçamentária,Valor Empenhado,Valor Liquidado,Valor Pago,função / subfunção,valor_pago_corrigido,valor_empenhado_corrigido,valor_liquidado_corrigido
2014,73248537.0,44820159.52,42945440.26,37758174.45,Todas,61472334.739851005,72969625.49806112,69917481.91398574
2015,55866508.0,32255792.19,32054672.2,29636524.95,Todas,43596759.051241435,47449827.61935945,47153970.40400741
2016,90139716.0,46434616.84,44820208.66,43775480.12,Todas,60586192.11524182,64266493.68445313,62032118.5530377
2017,79607923.0,43347750.02,41662131.35,41183168.28,Todas,55366493.754707165,58276549.15827514,56010409.8721752
2018,84024373.0,60060690.19,58453363.52,58239392.83,Todas,75470025.66490403,77830169.74991958,75747301.45163783
2019,90629635.0,72309943.34,68492245.07,68135466.38,Todas,84648831.92855497,89835038.42791182,85092079.78418812
2020,172910763.0,136001177.2,131205471.39,131051846.32,Todas,155776537.57351547,161659626.2093634,155959146.07664678
2021,100042367.0,83328486.2,75203332.04,73335155.17,Todas,79202288.72237664,89995129.99613631,81219927.92282842
2022,98455818.0,42097589.76,36148471.18,34127215.29,Todas,34841905.36212105,42979194.93071291,36905490.270340785
2022,41801420.0,26512144.03,20563025.45,19885172.83,ADMINISTRACAO GERAL,20301606.91298176,27067359.74179693,20993655.0814248
2022,11000.0,0.0,0.0,0.0,TECNOLOGIA DA INFORMACAO,0.0,0.0,0.0
2022,7384954.0,7086685.44,7086685.44,5904003.35,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,6027644.629962589,7235094.376538602,7235094.376538602
2022,3432954.0,611288.38,611288.38,611288.38,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",624089.944167381,624089.944167381,624089.944167381
2022,45825490.0,7887471.91,7887471.91,7726750.73,DIFUSAO CULTURAL,7888563.875009322,8052650.868210003,8052650.868210003
2021,23992607.0,18593628.52,16668781.43,16373598.47,ADMINISTRACAO GERAL,17683558.048510287,20081200.224146966,18002356.937933102
2021,1134000.0,100382.6,100382.6,90065.6,TECNOLOGIA DA INFORMACAO,97271.24240233724,108413.64758106157,108413.64758106157
2021,4195000.0,4169214.13,4169214.13,3169214.13,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,3422765.138567248,4502769.517623594,4502769.517623594
2021,1059852.0,740346.72,343190.23,343190.23,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",370646.9512493546,799577.6996200024,370646.9512493546
2021,46327302.0,36993107.83,34803470.15,34647161.49,DIFUSAO CULTURAL,37419086.131072395,39952718.4513036,37587900.16835682
2021,23333606.0,22731806.4,19118293.5,18711925.25,INFRA-ESTRUTURA URBANA,20208961.210575014,24550450.455861073,20647840.700084478
2020,37927557.0,34162964.22,33041567.19,32994905.57,ADMINISTRACAO GERAL,39219837.73284164,40608266.3379259,39275302.694269374
2020,14000.0,0.0,0.0,0.0,TECNOLOGIA DA INFORMACAO,0.0,0.0,0.0
2020,3823000.0,3774845.63,3774845.63,3774845.63,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,4487020.966343877,4487020.966343877,4487020.966343877
2020,2652852.0,1636482.87,1373741.19,1329200.49,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",1579972.0178503182,1945227.3466220135,1632915.9192293084
2020,75970968.0,57806505.92,57669124.91,57655483.63,DIFUSAO CULTURAL,68532965.11425984,68712479.7879805,68549180.00497784
2020,52522386.0,38620378.56,35346192.47,35297411.0,INFRA-ESTRUTURA URBANA,41956741.742219806,45906631.77049112,42014726.49182639
2019,43945423.0,40134986.66,38109576.55,37869534.93,ADMINISTRACAO GERAL,47047625.38241118,49862133.78638263,47345843.6793832
2019,72000.0,2150.8,2150.8,2150.8,TECNOLOGIA DA INFORMACAO,2672.069589962878,2672.069589962878,2672.069589962878
2019,4076000.0,4025154.37,4025154.37,4025154.37,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,5000693.968283051,5000693.968283051,5000693.968283051
2019,532000.0,224546.09,126378.79,61600.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",76529.42474507778,278967.2580593581,157008.05354998354
2019,35197871.0,23693494.2,23238101.47,23186143.19,DIFUSAO CULTURAL,28805555.201099068,29435868.203357738,28870106.130955294
2019,251000.0,0.0,0.0,0.0,"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",0.0,0.0,0.0
2019,6555341.0,4229611.22,2990883.09,2990883.09,INFRA-ESTRUTURA URBANA,3715755.882426634,5254703.142239068,3715755.882426634
2018,17328743.0,15876914.38,15729878.0,15689393.7,ADMINISTRACAO GERAL,20331237.80431733,20574238.114667583,20383699.737925466
2018,6889.0,0.0,0.0,0.0,TECNOLOGIA DA INFORMACAO,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,FORMACAO DE RECURSOS HUMANOS,0.0,0.0,0.0
2018,3046520.0,2993858.22,2128703.7,2128703.7,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2758499.2745532403,3879617.3126326855,2758499.2745532403
2018,2706610.0,2085314.3,2085314.3,2085314.3,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",2702272.7417467716,2702272.7417467716,2702272.7417467716
2018,25414241.0,9986260.92,9935293.93,9899526.26,DIFUSAO CULTURAL,12828387.533046871,12940783.39945544,12874737.380490392
2018,27273000.0,23064722.86,23064722.86,23064722.86,"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",29888622.487517416,29888622.487517416,29888622.487517416
2018,8248370.0,6053619.51,5509450.73,5371732.01,INFRA-ESTRUTURA URBANA,6961005.823722398,7844635.693899691,7139469.829404543
2017,29008519.0,27659035.17,27437682.64,27380270.86,ADMINISTRACAO GERAL,36809931.31139401,37184700.982433274,36887115.48860945
2017,64000.0,63460.1,63460.1,22583.4,TECNOLOGIA DA INFORMACAO,30361.03649333057,85315.51546580263,85315.51546580263
2017,4429500.0,53000.0,53000.0,53000.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",71252.9970751313,71252.9970751313,71252.9970751313
2017,42579339.0,13913173.5,12776923.52,12396248.93,DIFUSAO CULTURAL,16665469.599092253,18704817.183043286,17177247.060372382
2017,2365402.0,1659081.25,1331065.09,1331065.09,INFRA-ESTRUTURA URBANA,1789478.810652441,2230462.480257645,1789478.810652441
2017,1161163.0,0.0,0.0,0.0,DESPORTO COMUNITARIO,0.0,0.0,0.0
2016,36537654.0,27374169.02,27008773.64,26971005.1,ADMINISTRACAO GERAL,37328442.590471976,37886429.999041684,37380715.0501704
2016,240000.0,210630.0,210630.0,0.0,TECNOLOGIA DA INFORMACAO,0.0,291516.3833783529,291516.3833783529
2016,7131784.0,521150.0,521150.0,517000.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",715538.9555457839,721282.6434868186,721282.6434868186
2016,43279604.0,18088063.08,16967451.81,16175271.81,DIFUSAO CULTURAL,22386918.94892952,25034262.59982486,23483312.85570758
2016,2148674.0,240604.74,112203.21,112203.21,INFRA-ESTRUTURA URBANA,155291.62029455366,333002.0587214021,155291.62029455366
2016,802000.0,0.0,0.0,0.0,DESPORTO COMUNITARIO,0.0,0.0,0.0
2015,24532065.0,21236437.43,21132017.44,20724053.97,ADMINISTRACAO GERAL,30486083.94605365,31239824.753558867,31086217.906877507
2015,85000.0,80025.0,80025.0,80025.0,TECNOLOGIA DA INFORMATIZACAO,117720.63860259014,117720.63860259014,117720.63860259014
2015,3394472.0,134709.0,134709.0,134709.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",198163.44274309673,198163.44274309673,198163.44274309673
2015,25305971.0,10608341.55,10511641.55,8501457.77,DIFUSAO CULTURAL,12506054.829582654,15605382.590195453,15463132.22152478
2015,1550000.0,0.0,0.0,0.0,INFRA-ESTRUTURA URBANA,0.0,0.0,0.0
2015,999000.0,196279.21,196279.21,196279.21,DESPORTO COMUNITARIO,288736.1942594426,288736.1942594426,288736.1942594426
2014,30293643.0,17959184.64,17959184.64,15888448.95,ADMINISTRACAO GERAL,25867247.73054896,29238516.584184874,29238516.584184874
2014,21000.0,0.0,0.0,0.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",0.0,0.0,0.0
2014,40519754.0,26687171.91,24812452.65,21695922.53,DIFUSAO CULTURAL,35322126.44496734,43448148.34954154,40396004.76546617
2014,5140.0,0.0,0.0,0.0,"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",0.0,0.0,0.0
2014,2249000.0,173802.97,173802.97,173802.97,DESPORTO COMUNITARIO,282960.5643347061,282960.5643347061,282960.5643347061
2014,160000.0,0.0,0.0,0.0,LAZER,0.0,0.0,0.0
